,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
2993,Prince of Persia: The Two Thrones,PS2,2009.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.6,113.0,M
2994,Hot Shots Golf: Open Tee 2,PSP,2011.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,E
2995,Mercenaries: Playground of Destruction,X,2009.0,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,,,,,
2996,Iron Man,PS3,2012.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,T
2997,Bushido Blade 2,PS,2002.0,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,,,,,
2998,Suikoden II,PS,2002.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,163.0,T
2999,RIFT,PC,2015.0,Role-Playing,Trion Worlds,0.45,0.16,0.0,0.07,0.68,84.0,59.0,7.3,562.0,T
3000,FIFA Soccer 06,X,2009.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,E
3001,Terraria,X360,2017.0,Action,505 Games,0.35,0.27,0.0,0.06,0.68,81.0,39.0,7.1,140.0,T
3002,Fight Night 2004,X,2008.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,T
3003,Tourist Trophy: The Real Riding Simulator,PS2,2010.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,,,,,
3004,LEGO Harry Potter: Years 1-4,PSP,2014.0,Action,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,71.0,4.0,,,E10+
3005,Skylanders: Trap Team,PS3,2018.0,Action,Activision,0.27,0.3,0.0,0.11,0.68,,,7.0,5.0,E10+
3006,.hack//Mutation Part 2,PS2,2006.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,T
3007,Cars: Mater-National Championship,DS,2011.0,Racing,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,E
3008,Kirbys Dream Collection: Special Edition,Wii,2016.0,Action,Nintendo,0.33,0.0,0.33,0.02,0.68,82.0,6.0,8.8,37.0,E10+
3009,Midway Arcade Treasures 2,PS2,2008.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,,,M
3010,Book of Spells,PS3,2016.0,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.68,,,,,
3011,Return to Castle Wolfenstein: Tides of War,X,2007.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,M
3012,The Evil Within,XOne,2018.0,Action,Bethesda Softworks,0.36,0.25,0.0,0.06,0.67,79.0,24.0,7.3,432.0,M
3013,God of War III,PS4,2019.0,Action,Sony Computer Entertainment,0.26,0.29,0.01,0.11,0.67,,,,,
3014,Spider-Man 3,PS3,2011.0,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7.0,40.0,T
3015,Street Sk8er,PS,2002.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,,,,,
3016,F1 2015,PS4,2019.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.67,65.0,46.0,6.4,44.0,E
3017,100 Classic Books,DS,2012.0,Misc,Nintendo,0.12,0.53,0.0,0.02,0.67,70.0,7.0,6.0,12.0,
3018,Disney Tangled,Wii,2014.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,
3019,Mass Effect,PC,2012.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2411.0,M
3020,Contra: Legacy of War,PS,2000.0,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,
3021,Fight Night Round 2004,X,2008.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,,,,,
3022,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2010.0,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,,,,,
3023,Spice World,PS,2002.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,
3024,Star Wars: Republic Commando,X,2009.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,T
3025,Armored Core 3,PS2,2006.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9.0,33.0,T
3026,The LEGO Movie Videogame,PS4,2018.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,E10+
3027,Taiko no Tatsujin Wii,Wii,2012.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,,,,,
3028,London 2012: The Official Video Game of the Olympic Games,PS3,2016.0,Sports,Sega,0.06,0.48,0.0,0.14,0.67,,,,,
3029,Turok,PS3,2012.0,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6.0,39.0,M
3030,Red Steel,Wii,2010.0,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,T
3031,Wild ARMs 2,PS,2003.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,,,,,
3032,Summer Sports: Paradise Island (Others sales),Wii,2012.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,,,,,
3033,Need for Speed: Shift 2 Unleashed,PS3,2015.0,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,,,,,
3034,The Fairly Odd Parents: Breakin Da Rules,PS2,2007.0,Platform,THQ,0.33,0.25,0.0,0.09,0.67,,,,,
3035,Virtua Tennis: World Tour (US & Others sales),PSP,2009.0,Sports,Sega,0.16,0.36,0.0,0.14,0.67,,,,,
3036,Unreal Tournament III,PS3,2011.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,M
3037,Lalaloopsy,DS,2015.0,Simulation,Activision,0.51,0.1,0.0,0.06,0.67,,,,,E
3038,Adventures of Tron,2600,1985.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,,,,,
3039,The Sims 3,DS,2014.0,Simulation,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9.0,6.4,20.0,E
3040,The Sims 3: High-End Loft Stuff,PC,2014.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.67,,,6.5,17.0,T
3041,Napoleon: Total War,PC,2014.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.67,81.0,56.0,7.9,517.0,T
3042,Rocksmith 2014,PC,2017.0,Misc,Ubisoft,0.37,0.24,0.0,0.06,0.67,,,,,
3043,Fossil Fighters: Champions,DS,2014.0,Role-Playing,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8.0,7.1,11.0,E
3044,Command & Conquer: Red Alert 3,PC,2012.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,,,,,
3045,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,2009.0,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,E
3046,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2010.0,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66,,,,,
3047,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2018.0,Action,Disney Interactive Studios,0.38,0.22,0.0,0.06,0.66,,,,,
3048,Madden NFL 10,PSP,2013.0,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66,,,7.8,5.0,E
3049,Pro Pinball: Big Race USA,PS,2003.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4.0,,,E
3050,NFL Street,X,2008.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,E
3051,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2011.0,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41.0,7.1,26.0,E10+
3052,Blazing Angels: Squadrons of WWII,PS3,2010.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,T
3053,Bakugan: Battle Brawlers,Wii,2013.0,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,E
3054,WWE SmackDown vs. RAW 2007,PSP,2010.0,Fighting,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,T
3055,Country Dance,Wii,2015.0,Misc,Funbox Media,0.58,0.04,0.0,0.05,0.66,,,,,E10+
3056,Tony Hawks Proving Ground,PS2,2011.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,T
3057,The Darkness,PS3,2011.0,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,109.0,M
3058,MLB 2004,PS2,2007.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,E
3059,BioShock Infinite,PC,2017.0,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7350.0,M
3060,Naruto Shippuden: Ultimate Ninja 4,PS2,2011.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,,,,,
3061,Tiger Woods PGA Tour 2000,PS,2002.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,,,,,
3062,Darkstone,PS,2005.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.4,13.0,T
3063,LEGO Harry Potter: Years 5-7,DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.34,0.25,0.0,0.07,0.66,69.0,4.0,,,E10+
3064,NCAA March Madness 2003,PS2,2006.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8.0,27.0,E
3065,Finding Nemo,X,2007.0,Action,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11.0,,,E
3066,Thrillville,PS2,2010.0,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32.0,2.9,52.0,E10+
3067,Lollipop Chainsaw,PS3,2016.0,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,M
3068,Jikkyou World Soccer 2000 Final Edition,PS2,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,,,,,
3069,Hidden Objects: Mystery Stories,DS,2013.0,Adventure,GSP,0.18,0.43,0.0,0.05,0.66,,,,,
3070,Madagascar,GC,2009.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70.0,21.0,,,E10+
3071,Tom Clancys EndWar,PS3,2012.0,Strategy,Ubisoft,0.33,0.22,0.01,0.11,0.66,76.0,33.0,6.6,42.0,T
3072,Castlevania: Lords of Shadow,X360,2014.0,Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70.0,7.8,239.0,M
3073,Puzzler Brain Games,Wii,2016.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,
3074,NHL 10,X360,2013.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,E10+
3075,TV Show King Party,Wii,2012.0,Puzzle,Ubisoft,0.18,0.4,0.0,0.08,0.66,,,,,T
3076,Metro: Last Light,PS4,2018.0,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66,,,,,
3077,Dragon Quest Monsters: Caravan Heart,GBA,2007.0,Role-Playing,Enix Corporation,0.0,0.0,0.64,0.02,0.66,,,,,
3078,Strawberry Shortcake: Summertime Adventure,GBA,2008.0,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,,,,,E
3079,Street Fighter Anniversary Collection,PS2,2008.0,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30.0,8.7,20.0,T
3080,Legend of Legaia,PS,2002.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,,,,
3081,NHL 13,X360,2016.0,Sports,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,E10+
3082,Rayman Legends,WiiU,2017.0,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35.0,8.7,467.0,E10+
3083,The Sims: Bustin Out,GC,2007.0,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30.0,9.0,15.0,T
3084,Keystone Kapers,2600,1986.0,Action,Activision,0.62,0.04,0.0,0.01,0.66,,,,,
3085,Ratatouille,PSP,2011.0,Action,THQ,0.22,0.27,0.0,0.16,0.66,64.0,7.0,7.1,7.0,E
3086,The Crew,XOne,2018.0,Racing,Ubisoft,0.27,0.34,0.0,0.05,0.66,64.0,18.0,5.9,177.0,T
3087,Shrek: Hassle at the Castle,GBA,2006.0,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71.0,7.0,7.4,5.0,E
3088,Plants vs. Zombies: Garden Warfare,PS3,2018.0,Shooter,Electronic Arts,0.22,0.32,0.01,0.11,0.66,,,7.8,24.0,E10+
3089,Suikoden IV,PS2,2008.0,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44.0,7.4,48.0,T
3090,Gods Eater Burst,PSP,2014.0,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30.0,7.9,35.0,T
3091,Fist of the North Star: Kens Rage,PS3,2014.0,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,M
3092,One Piece: Pirate Warriors 2,PS3,2017.0,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,T
3093,Disney's Kim Possible 2: Drakkens Demise,GBA,2008.0,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66,77.0,8.0,,,E
3094,Um Jammer Lammy,PS,2002.0,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66,,,,,
3095,Brothers In Arms: Road to Hill 30,X,2009.0,Shooter,Ubisoft,0.49,0.14,0.0,0.02,0.66,88.0,64.0,8.0,69.0,M
3096,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,
3097,Animaniacs Ten Pin Alley,PS,2002.0,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66,,,,,
3098,Mortal Kombat,PSV,2016.0,Fighting,Warner Bros. Interactive Entertainment,0.42,0.13,0.0,0.1,0.65,85.0,51.0,7.8,192.0,M
3099,Freedom Wars,PSV,2018.0,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,39.0,8.3,266.0,T
3100,Kung Fu Panda,PS2,2012.0,Action,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6.0,8.6,5.0,E10+
3101,Ratchet & Clank: Into the Nexus,PS3,2017.0,Shooter,Sony Computer Entertainment,0.3,0.25,0.0,0.1,0.65,,,,,
3102,Evolve,XOne,2019.0,Shooter,Take-Two Interactive,0.39,0.2,0.0,0.06,0.65,74.0,31.0,5.1,337.0,M
3103,The Last Story,Wii,2015.0,Role-Playing,Nintendo,0.3,0.13,0.18,0.04,0.65,80.0,61.0,8.4,179.0,T
3104,Club Penguin: Elite Penguin Force - Herberts Revenge,DS,2014.0,Adventure,Disney Interactive Studios,0.39,0.21,0.0,0.06,0.65,,,,,
3105,Shaun White Snowboarding,PS3,2012.0,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.65,63.0,30.0,6.3,26.0,T
3106,The Biggest Loser: Challenge,Wii,2014.0,Sports,THQ,0.48,0.12,0.0,0.05,0.65,,,,,E
3107,Radiata Stories,PS2,2009.0,Role-Playing,Square Enix,0.18,0.14,0.29,0.05,0.65,74.0,36.0,9.1,55.0,T
3108,Peppa Pig: Fun and Games,DS,2014.0,Misc,Ubisoft,0.0,0.57,0.0,0.09,0.65,,,,,
3109,LEGO Jurassic World,3DS,2019.0,Action,Warner Bros. Interactive Entertainment,0.31,0.25,0.03,0.05,0.65,,,7.2,11.0,E10+
3110,Far Cry 4,PC,2018.0,Shooter,Ubisoft,0.16,0.45,0.0,0.05,0.65,80.0,17.0,6.7,1079.0,M
3111,Wario: Master of Disguise,DS,2011.0,Platform,Nintendo,0.28,0.02,0.33,0.03,0.65,60.0,35.0,7.4,19.0,E10+
3112,F-Zero GX,GC,2007.0,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65,89.0,50.0,8.6,163.0,T
3113,Disney's Chicken Little,PS2,2009.0,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,60.0,20.0,8.9,7.0,E10+
3114,Scene It? Box Office Smash,X360,2012.0,Misc,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.65,76.0,32.0,7.4,25.0,T
3115,Yoshi Topsy-Turvy,GBA,2008.0,Platform,Nintendo,0.25,0.09,0.3,0.01,0.65,60.0,23.0,6.6,5.0,E
3116,Metal Gear Solid V: The Phantom Pain,PS3,2019.0,Action,Konami Digital Entertainment,0.22,0.13,0.23,0.07,0.65,,,7.2,175.0,M
3117,Monster Jam: Maximum Destruction,PS2,2006.0,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65,47.0,11.0,6.0,6.0,T
3118,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2009.0,Misc,THQ,0.47,0.17,0.0,0.01,0.65,,,,,
3119,Tiger Woods PGA Tour 09,PS3,2012.0,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.65,82.0,34.0,7.2,9.0,E
3120,World of Dragon Warrior - Torneko: The Last Hope,PS,2003.0,Role-Playing,Enix Corporation,0.02,0.01,0.58,0.04,0.65,,,,,
3121,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2011.0,Action,Activision,0.23,0.26,0.0,0.16,0.65,,,,,
3122,Tiger Woods PGA Tour 09,X360,2012.0,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84.0,41.0,7.8,29.0,E
3123,Assassins Creed IV: Black Flag,PC,2017.0,Action,Ubisoft,0.22,0.38,0.0,0.05,0.65,84.0,10.0,7.7,1483.0,M
3124,Advance Wars 2: Black Hole Rising,GBA,2007.0,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,34.0,9.4,97.0,E
3125,Borderlands 2,PSV,2018.0,Shooter,Take-Two Interactive,0.33,0.16,0.01,0.15,0.65,64.0,31.0,7.6,358.0,M
3126,Centipede,PS,2002.0,Shooter,Atari,0.36,0.25,0.0,0.04,0.65,,,,,
3127,Drakengard,PS2,2007.0,Role-Playing,Square Enix,0.19,0.15,0.26,0.05,0.65,63.0,55.0,9.1,89.0,M
3128,SingStar Pop Hits,PS2,2011.0,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65,,,,,
3129,Kung-Fu Master,2600,1991.0,Action,Activision,0.6,0.04,0.0,0.01,0.65,,,,,
3130,Champions: Return to Arms,PS2,2009.0,Role-Playing,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77.0,48.0,8.8,43.0,T
3131,Harry Potter and the Goblet of Fire,PS2,2009.0,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68.0,29.0,6.7,48.0,E10+
3132,Toy Story 3: The Video Game,PSP,2014.0,Action,Disney Interactive Studios,0.27,0.24,0.0,0.14,0.65,,,,,
3133,SingStar R&,PS2,2011.0,Misc,Sony Computer Entertainment,0.0,0.05,0.0,0.6,0.65,,,,,
3134,Mary-Kate and Ashley: Magical Mystery Mall,PS,2004.0,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65,,,,,
3135,MX vs. ATV Untamed,PSP,2011.0,Racing,THQ,0.35,0.18,0.0,0.12,0.65,59.0,12.0,,,E
3136,007: Quantum of Solace,Wii,2012.0,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0,T
3137,Tiger Woods PGA Tour 10,X360,2013.0,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80.0,51.0,6.9,20.0,E
3138,Crafting Mama,DS,2014.0,Simulation,505 Games,0.39,0.19,0.01,0.05,0.65,,,,,E
3139,Super Robot Taisen Impact,PS2,2006.0,Strategy,Banpresto,0.0,0.0,0.65,0.0,0.65,,,,,
3140,Wall-E,PSP,2012.0,Platform,THQ,0.29,0.22,0.0,0.14,0.65,64.0,8.0,,,E
3141,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2012.0,Misc,Namco Bandai Games,0.0,0.0,0.65,0.0,0.65,,,,,
3142,Disney Infinity 2.0: Marvel Super Heroes,PS4,2018.0,Action,Disney Interactive Studios,0.29,0.25,0.0,0.11,0.65,,,,,
3143,Overwatch,PC,2020.0,Shooter,Activision,0.28,0.31,0.0,0.05,0.65,91.0,62.0,6.8,4160.0,T
3144,Harry Potter and the Half-Blood Prince,PS2,2013.0,Action,Electronic Arts,0.13,0.07,0.0,0.44,0.64,,,8.3,13.0,E10+
3145,Crash Bandicoot Purple: Riptos Rampage,GBA,2008.0,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67.0,23.0,6.8,13.0,E
3146,LEGO Dimensions,X360,2019.0,Action,Warner Bros. Interactive Entertainment,0.33,0.26,0.0,0.06,0.64,,,6.1,18.0,
3147,Need For Speed: Undercover,Wii,2012.0,Racing,Electronic Arts,0.27,0.31,0.0,0.07,0.64,54.0,12.0,6.2,29.0,T
3148,The LEGO Movie Videogame,WiiU,2018.0,Action,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,5.0,7.7,25.0,E10+
3149,Spyro: A Heros Tail,PS2,2008.0,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,60.0,16.0,8.0,44.0,E
3150,Crash: Twinsanity,PS2,2008.0,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,64.0,38.0,8.0,132.0,E
3151,Quantum Break,XOne,2020.0,Action,Microsoft Game Studios,0.38,0.2,0.01,0.06,0.64,77.0,106.0,6.8,1682.0,M
3152,Drawn to Life: The Next Chapter,DS,2013.0,Puzzle,THQ,0.44,0.14,0.0,0.06,0.64,72.0,21.0,7.7,22.0,E
3153,Max Payne 2: The Fall of Max Payne,X,2007.0,Shooter,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64,84.0,34.0,8.2,50.0,M
3154,GoldenEye: Rogue Agent,PS2,2008.0,Shooter,Electronic Arts,0.54,0.02,0.0,0.09,0.64,60.0,38.0,7.0,32.0,T
3155,WWE 2K15,X360,2018.0,Sports,Take-Two Interactive,0.38,0.21,0.0,0.06,0.64,50.0,5.0,4.0,65.0,T
3156,Star Ocean: First Departure,PSP,2011.0,Role-Playing,Square Enix,0.2,0.13,0.22,0.09,0.64,74.0,32.0,7.4,28.0,T
3157,Paws & Claws: Pet Vet,DS,2011.0,Simulation,THQ,0.59,0.0,0.0,0.05,0.64,,,,,
3158,James Bond 007: Everything or Nothing,X,2008.0,Shooter,Electronic Arts,0.43,0.19,0.0,0.02,0.64,83.0,51.0,7.4,27.0,T
3159,NHL 16,PS4,2019.0,Sports,Electronic Arts,0.37,0.16,0.0,0.11,0.64,78.0,28.0,5.5,158.0,E10+
3160,X2: Wolverines Revenge,PS2,2007.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64,58.0,24.0,7.2,13.0,T
3161,NBA Live 06,X,2009.0,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64,79.0,30.0,6.4,15.0,E
3162,Tom Clancys Rainbow Six,N64,2003.0,Shooter,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64,,,,,
3163,Castlevania,N64,2003.0,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64,,,,,
3164,Rayman 2: The Great Escape,N64,2003.0,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64,,,,,
3165,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2008.0,Misc,Majesco Entertainment,0.46,0.17,0.0,0.01,0.64,,,,,
3166,New Play Control! Pikmin,Wii,2012.0,Strategy,Nintendo,0.28,0.12,0.19,0.04,0.64,,,,,
3167,Rayman 3D,3DS,2015.0,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64,61.0,39.0,6.5,49.0,E
3168,Football Manager 2014,PC,2017.0,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,41.0,5.5,277.0,E
3169,LEGO Dimensions,PS3,2019.0,Action,Warner Bros. Interactive Entertainment,0.2,0.34,0.0,0.1,0.64,,,6.4,18.0,
3170,TimeSplitters 2,X,2006.0,Shooter,Eidos Interactive,0.29,0.33,0.0,0.01,0.64,88.0,20.0,7.7,34.0,T
3171,LittleBigPlanet 3,PS3,2018.0,Platform,Sony Computer Entertainment,0.2,0.33,0.01,0.1,0.64,,,7.2,64.0,E
3172,Dragon Quest Monsters Joker 3,3DS,2020.0,Role-Playing,Square Enix,0.0,0.0,0.64,0.0,0.64,,,,,
3173,Onimusha: Dawn of Dreams,PS2,2010.0,Action,Capcom,0.15,0.12,0.34,0.04,0.64,81.0,45.0,8.9,63.0,M
3174,Sengoku Basara: Samurai Heroes,PS3,2014.0,Action,Capcom,0.17,0.04,0.4,0.02,0.64,61.0,37.0,7.9,29.0,T
3175,Stuntman: Ignition,X360,2011.0,Racing,THQ,0.25,0.31,0.0,0.07,0.64,75.0,38.0,7.3,31.0,T
3176,Real Heroes: Firefighter,Wii,2013.0,Action,Rondomedia,0.56,0.04,0.0,0.05,0.64,67.0,18.0,8.2,10.0,E10+
3177,Dead or Alive 5,PS3,2016.0,Fighting,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74.0,34.0,7.7,109.0,M
3178,Up,DS,2013.0,Action,THQ,0.3,0.27,0.0,0.07,0.64,,,,,E
3179,Paper Mario: Color Splash,WiiU,2020.0,Role-Playing,Nintendo,0.29,0.23,0.06,0.05,0.64,76.0,73.0,6.9,226.0,E
3180,SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2008.0,Misc,THQ,0.46,0.17,0.0,0.01,0.64,,,,,
3181,Konami Collectors Series: Arcade Advanced,GBA,2006.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,78.0,10.0,,,E
3182,Dragon Ball: Raging Blast 2,X360,2014.0,Fighting,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64,57.0,33.0,7.4,31.0,T
3183,Jampack Volume 13 (RP-T),PS2,2009.0,Misc,Sony Computer Entertainment,0.31,0.24,0.0,0.08,0.64,,,,,
3184,NHL 13,PS3,2016.0,Sports,Electronic Arts,0.33,0.21,0.0,0.09,0.64,84.0,22.0,6.8,60.0,E10+
3185,Madden NFL 2001,N64,2004.0,Sports,Electronic Arts,0.6,0.03,0.0,0.01,0.64,,,,,
3186,Cruisn World,N64,2002.0,Racing,Nintendo,0.59,0.04,0.0,0.01,0.64,,,,,
3187,Minecraft: Story Mode,XOne,2019.0,Adventure,Mojang,0.36,0.22,0.0,0.06,0.64,,,,,
3188,Lemony Snickets A Series of Unfortunate Events,PS2,2008.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64,63.0,25.0,5.7,12.0,E
3189,Lost Planet: Extreme Condition,PS3,2012.0,Shooter,Capcom,0.31,0.17,0.07,0.08,0.64,67.0,34.0,7.0,36.0,T
